model,kernel_family,fold,R2,RMSE,MAE,rank_RMSE_within_fold
base_cyclic_xproc_pca8_matern32,matern,1,0.9159324785326898,3.346098701735879,1.4011860007943833,3.0
base_cyclic_xproc_pca8_matern32,matern,2,0.7151776399314556,3.744467077723986,1.433757349276714,4.0
base_cyclic_xproc_pca8_matern32,matern,3,0.9578666820783815,1.641768475780123,0.8619616047761096,1.0
base_cyclic_xproc_pca8_matern32,matern,4,0.9728540557247858,2.367611706397817,1.222998096807069,4.0
base_cyclic_xproc_pca8_matern32,matern,5,0.9236976133456332,0.8543421130030986,0.4864292090767748,1.0
base_cyclic_xproc_pca8_matern32,matern,6,0.9620044273494766,2.6855446670413987,1.2683796262191411,4.0
base_cyclic_xproc_pca8_matern32,matern,7,0.8629926595150746,4.234167041773009,2.64982831817195,3.0
base_cyclic_xproc_pca8_matern32,matern,8,0.9568799056386476,2.133948425042361,1.186915678990433,2.0
base_cyclic_xproc_pca8_matern32,matern,9,0.7718344812234551,1.5708739546733865,0.8310259918851699,2.0
base_cyclic_xproc_pca8_matern32,matern,10,0.9830882808460071,1.1850489544897809,0.5752575494594635,5.0
base_cyclic_xproc_pca8_rbf_iso,rbf,1,0.9104581412560252,3.4533267948944095,1.5149453621447622,5.0
base_cyclic_xproc_pca8_rbf_iso,rbf,2,0.7773387025255837,3.3107420423838927,1.2844860794853532,1.0
base_cyclic_xproc_pca8_rbf_iso,rbf,3,0.9523802424652905,1.7453907582147952,1.0451084022209394,5.0
base_cyclic_xproc_pca8_rbf_iso,rbf,4,0.9796034375037903,2.0522794299414313,1.0652724811809813,1.0
base_cyclic_xproc_pca8_rbf_iso,rbf,5,0.8689979249371254,1.11944262824218,0.6512682624002546,5.0
base_cyclic_xproc_pca8_rbf_iso,rbf,6,0.9569053132249508,2.8600771427031733,1.4500797381748527,6.0
base_cyclic_xproc_pca8_rbf_iso,rbf,7,0.8274610829414948,4.751597041030491,2.93064912190459,5.0
base_cyclic_xproc_pca8_rbf_iso,rbf,8,0.9776927408762319,1.5348543649412363,0.8122232855089803,1.0
base_cyclic_xproc_pca8_rbf_iso,rbf,9,0.7199041600925569,1.7404825040161354,0.9011903576914314,4.0
base_cyclic_xproc_pca8_rbf_iso,rbf,10,0.9921461276715774,0.8075777242372456,0.5220863699254411,2.0
base_cyclic_xproc_pca8_rational_quadratic,rational_quadratic,1,0.9104565571061858,3.45335734241134,1.5148719580431533,6.0
base_cyclic_xproc_pca8_rational_quadratic,rational_quadratic,2,0.7525306291202323,3.4903076029039695,1.3202893442289763,2.0
base_cyclic_xproc_pca8_rational_quadratic,rational_quadratic,3,0.9523876189260474,1.745255569527092,1.044857353439107,4.0
base_cyclic_xproc_pca8_rational_quadratic,rational_quadratic,4,0.979600982793537,2.0524029213335973,1.0652369850684726,2.0
base_cyclic_xproc_pca8_rational_quadratic,rational_quadratic,5,0.8690227509591593,1.1193365512043203,0.6512940238905145,4.0
base_cyclic_xproc_pca8_rational_quadratic,rational_quadratic,6,0.9844586326891389,1.717554376425428,1.049306892772798,2.0
base_cyclic_xproc_pca8_rational_quadratic,rational_quadratic,7,0.8848734122892405,3.8813596400930503,2.0871625804502565,2.0
base_cyclic_xproc_pca8_rational_quadratic,rational_quadratic,8,0.8633078413475883,3.7994074375599696,1.7655361304189365,5.0
base_cyclic_xproc_pca8_rational_quadratic,rational_quadratic,9,0.7200229392684236,1.7401134249907535,0.9010380362345517,3.0
base_cyclic_xproc_pca8_rational_quadratic,rational_quadratic,10,0.9921494869796459,0.8074049946327547,0.5220809120075454,1.0
base_cyclic_xproc_pca8_matern52,matern,1,0.9113223975383377,3.436620663744243,1.4696846741965235,4.0
