file_key,y,C3H3_angle_deg_raw,C3H3_reversed_deg,C6H6_angle_deg,axis_angle_deg,antiparallel_deviation_deg,input_angle_diff_deg,C3H3_reversed_deg_bin,C6H6_angle_deg_bin,axis_angle_deg_bin,antiparallel_deviation_deg_bin,fold_seed123,nearest_train_axis_angle_deg,train_count_within_5deg,nearest_train_antiparallel_deviation_deg,best_gpr_pred,best_gpr_std,rf_pred,best_gpr_abs_error,rf_abs_error
0-0-2-10-0,40.74,-157.92495566313383,22.07504433686618,22.090750496172205,22.082897416519195,0.015706159305986147,179.98429384069397,"[10,30)","[10,30)","[10,30)","[0,0.25)",9,0.0,11,0.0,36.29392261431232,7.871389816591186,32.4608594214473,4.44607738568768,8.279140578552699
0-0-2-13-1,41.08,-143.02302234741325,36.97697765258677,37.033068998122246,37.00502332535451,0.056091345535470884,179.94390865446422,"[30,50)","[30,50)","[30,50)","[0,0.25)",4,0.013819826902569441,21,0.0017890212784453102,43.03079180275778,4.888081676977869,41.0201909708857,1.9507918027577844,0.059809029114298085
0-0-2-13-2,43.73,-142.95329383482115,37.04670616517884,37.14295105950698,37.09482861234291,0.09624489432811231,179.90375510567227,"[30,50)","[30,50)","[30,50)","[0,0.25)",9,0.07598546008583158,20,0.0007149404368901463,40.80639114530537,4.01787438300593,42.4821124302723,2.9236088546946277,1.2478875697276948
0-0-2-13-3,42.65,-142.71558640897246,37.28441359102753,37.42059749748249,37.35250554425502,0.13618390645494197,179.86381609354527,"[30,50)","[30,50)","[30,50)","[0,0.25)",8,0.2576769319121071,18,0.0014683625928293975,40.76230735602843,3.711953443206153,40.6494979517705,1.8876926439715689,2.0005020482294995
0-0-2-13-4,39.08,-142.3096458859454,37.690354114054585,37.866259178600714,37.77830664632765,0.17590506454610563,179.82409493545387,"[30,50)","[30,50)","[30,50)","[0,0.25)",7,0.4258011020726365,19,0.006212461241452943,31.800059412463003,3.686967050319426,39.2557455873679,7.279940587536995,0.17574558736789925
0-0-2-13-5,33.16,-141.73523155384765,38.264768446152345,38.48013930756247,38.372453876857406,0.21537086141010642,179.78462913858988,"[30,50)","[30,50)","[30,50)","[0,0.25)",8,0.0,19,0.0,31.18525130602429,3.432161995419301,34.4709234694681,1.9747486939757053,1.3109234694681007
0-0-2-13-6,25.09,-140.99225936551684,39.00774063448316,39.26223652974873,39.13498858211595,0.2544958952655317,179.74550410473452,"[30,50)","[30,50)","[30,50)","[0.25,0.5)",7,5.724998426634331e-14,24,1.0180745135812685e-13,21.673663608788026,3.531565018204849,26.3122491849918,3.416336391211974,1.2222491849917994
0-0-2-13-7,16.42,-140.08100502309654,39.918994976903456,40.21212849448708,40.06556173569527,0.2931335175836006,179.70686648241661,"[30,50)","[30,50)","[30,50)","[0.25,0.5)",6,2.2899993706537323e-13,23,6.870060076380469e-13,19.099705915944195,3.690287192173615,20.2856087283857,2.6797059159441936,3.8656087283856984
0-0-2-13-8,9.54,-139.00236616073698,40.99763383926301,41.32869731223158,41.16316557574729,0.33106347296854105,179.66893652703178,"[30,50)","[30,50)","[30,50)","[0.25,0.5)",10,0.0,25,0.0,8.204700310431875,3.6824584187041594,11.71703879598,1.3352996895681244,2.1770387959800015
0-0-2-13-9,5.23,-137.75817979701412,42.24182020298589,42.6098018136429,42.4258110083144,0.3679816106569915,179.6320183893432,"[30,50)","[30,50)","[30,50)","[0.25,0.5)",4,2.5444437451708134e-14,27,5.090372567906343e-14,11.355666274496514,4.741557507012658,28.7350044988466,6.125666274496513,23.5050044988466
0-0-2-16-11,11.68,-125.54119076105297,54.458809238947026,54.88789644562094,54.67335284228398,0.4290872066738953,179.57091279332622,"[50,70]","[50,70]","[50,70]","[0.25,0.5)",4,0.22664429813915715,20,0.00051310125801457,16.92718810417765,2.591524446022889,15.4155155166828,5.247188104177649,3.735515516682801
0-0-2-16-12,14.77,-124.91245010130635,55.08754989869365,55.54079429532981,55.31417209701173,0.45324439663613525,179.546755603364,"[50,70]","[50,70]","[50,70]","[0.25,0.5)",3,0.6408192547277481,29,0.0018432621267472915,9.988910080955918,2.06253790177648,8.57443340642862,4.781089919044081,6.19556659357138
0-0-2-16-14,4.6,-123.4951299810589,56.50487001894111,56.99613034065775,56.75050017979943,0.4912603217166073,179.5087396782833,"[50,70]","[50,70]","[50,70]","[0.25,0.5)",8,0.0,35,0.0,12.23979882217455,4.0933898538611375,14.0461019130551,7.63979882217455,9.4461019130551
0-0-2-3-0,18.83,167.0750443368661,-12.924955663133895,-12.909249503827832,-12.917102583480863,0.015706159306037037,179.98429384069397,"[-30,-10)","[-30,-10)","[-30,-10)","[0,0.25)",2,0.01658732190458539,6,5.088984789125561e-14,28.210360106340005,6.637867122274859,31.4408445586578,9.380360106340007,12.610844558657803
