file_key,series_prefix_candidate,series_step_candidate,y,C3H3_angle_deg_raw,C3H3_reversed_deg,C6H6_angle_deg,axis_angle_deg,antiparallel_deviation_deg,input_angle_diff_deg,dot_C3H3_C6H6,dot_xy_C3H3_C6H6,axis_abs_z_component_proxy,axis_abs_elevation_deg_proxy,C3H3_reversed_deg_bin,C6H6_angle_deg_bin,axis_angle_deg_bin,antiparallel_deviation_deg_bin
0-0-2-10-0,0-0-2-10,0,40.74,-157.92495566313383,22.07504433686618,22.090750496172205,22.082897416519195,0.015706159305986147,179.98429384069397,-0.99996001558692,-0.999197263822662,0.027617960899711552,1.5825938295130626,"[10,30)","[10,30)","[10,30)","[0,0.25)"
0-0-2-13-1,0-0-2-13,1,41.08,-143.02302234741325,36.97697765258677,37.033068998122246,37.00502332535451,0.056091345535470884,179.94390865446422,-0.99996001558692,-0.999898509407874,0.007842587522374246,0.44935177189270387,"[30,50)","[30,50)","[30,50)","[0,0.25)"
0-0-2-13-2,0-0-2-13,2,43.73,-142.95329383482115,37.04670616517884,37.14295105950698,37.09482861234291,0.09624489432811231,179.90375510567227,-0.99996001558692,-0.997864645659379,0.04577521084103275,2.623643182570605,"[30,50)","[30,50)","[30,50)","[0,0.25)"
0-0-2-13-3,0-0-2-13,3,42.65,-142.71558640897246,37.28441359102753,37.42059749748249,37.35250554425502,0.13618390645494197,179.86381609354527,-0.99996001558692,-0.993146834246318,0.08254199743525745,4.734694889858476,"[30,50)","[30,50)","[30,50)","[0,0.25)"
0-0-2-13-4,0-0-2-13,4,39.08,-142.3096458859454,37.690354114054585,37.866259178600714,37.77830664632765,0.17590506454610563,179.82409493545387,-0.99996001558692,-0.985877874082862,0.11866819921132227,6.815246809599608,"[30,50)","[30,50)","[30,50)","[0,0.25)"
0-0-2-13-5,0-0-2-13,5,33.16,-141.73523155384765,38.264768446152345,38.48013930756247,38.372453876857406,0.21537086141010642,179.78462913858988,-0.99996001558692,-0.976268246587696,0.15392130781416877,8.854241010870522,"[30,50)","[30,50)","[30,50)","[0,0.25)"
0-0-2-13-6,0-0-2-13,6,25.09,-140.99225936551684,39.00774063448316,39.26223652974873,39.13498858211595,0.2544958952655317,179.74550410473452,-0.99996001558692,-0.964599799327868,0.18804312340272392,10.838605094325494,"[30,50)","[30,50)","[30,50)","[0.25,0.5)"
0-0-2-13-7,0-0-2-13,7,16.42,-140.08100502309654,39.918994976903456,40.21212849448708,40.06556173569527,0.2931335175836006,179.70686648241661,-0.99996001558692,-0.951217259364945,0.22077761712178864,12.75471028333142,"[30,50)","[30,50)","[30,50)","[0.25,0.5)"
0-0-2-13-8,0-0-2-13,8,9.54,-139.00236616073698,40.99763383926301,41.32869731223158,41.16316557574729,0.33106347296854105,179.66893652703178,-0.99996001558692,-0.936517833579041,0.25187731538961405,14.588629888999233,"[30,50)","[30,50)","[30,50)","[0.25,0.5)"
0-0-2-13-9,0-0-2-13,9,5.23,-137.75817979701412,42.24182020298589,42.6098018136429,42.4258110083144,0.3679816106569915,179.6320183893432,-0.99996001558692,-0.920939211391277,0.28110639301809387,16.32624879414384,"[30,50)","[30,50)","[30,50)","[0.25,0.5)"
