angle_view,angle_bin,n,y_mean,y_std,best_overall_model,best_overall_RMSE,best_GPR_model,best_GPR_RMSE,global_best_GPR_RMSE,RF_RMSE,global_best_GPR_RMSE_reduction_vs_RF_pct
molecular_axis,"[10,30)",36,47.94027777777778,2.720520418818125,base_cyclic_xproc_pca8_matern32,1.0260233105319558,base_cyclic_xproc_pca8_matern32,1.0260233105319558,1.0260233105319558,1.9339540975541392,46.94686332888864
molecular_axis,"[30,50)",52,42.57557692307692,8.957614224882088,base_cyclic_xproc_pca8_matern32,1.7581266565785583,base_cyclic_xproc_pca8_matern32,1.7581266565785583,1.7581266565785583,3.584927327047877,50.95781598378052
molecular_axis,"[50,70]",41,38.25585365853659,15.24567610432705,RF_current_residualPLS5,3.129496275358778,base_cyclic_xproc_pca8_matern12,3.5247732714426445,4.087943412254814,3.129496275358778,-30.626243093584
molecular_axis,"[-30,-10)",24,46.0975,7.647964349789569,base_cyclic_xproc_pca8_matern52,2.9563747316038196,base_cyclic_xproc_pca8_matern52,2.9563747316038196,3.0863395637310864,4.338006423194485,28.853504060551334
molecular_axis,"[-10,10)",17,45.79352941176471,4.3814751242824475,base_cyclic_xproc_pca8_rbf_ard,1.0677189589113023,base_cyclic_xproc_pca8_rbf_ard,1.0677189589113023,1.5423231606697378,2.132434728875148,27.67313626132379
C6_to_H6_direction,"[10,30)",36,47.94027777777778,2.720520418818125,base_cyclic_xproc_pca8_matern32,1.0260233105319558,base_cyclic_xproc_pca8_matern32,1.0260233105319558,1.0260233105319558,1.9339540975541392,46.94686332888864
C6_to_H6_direction,"[30,50)",51,42.49058823529412,9.025548052448606,base_cyclic_xproc_pca8_matern32,1.775258689684896,base_cyclic_xproc_pca8_matern32,1.775258689684896,1.775258689684896,3.619274683265481,50.94987683877109
C6_to_H6_direction,"[50,70]",42,38.46190476190476,15.117698114573907,RF_current_residualPLS5,3.092909011520105,base_cyclic_xproc_pca8_matern12,3.4825796712285717,4.038995356412343,3.092909011520105,-30.588883842633795
C6_to_H6_direction,"[-30,-10)",24,46.0975,7.647964349789569,base_cyclic_xproc_pca8_matern52,2.9563747316038196,base_cyclic_xproc_pca8_matern52,2.9563747316038196,3.0863395637310864,4.338006423194485,28.853504060551334
C6_to_H6_direction,"[-10,10)",17,45.79352941176471,4.3814751242824475,base_cyclic_xproc_pca8_rbf_ard,1.0677189589113023,base_cyclic_xproc_pca8_rbf_ard,1.0677189589113023,1.5423231606697378,2.132434728875148,27.67313626132379
reversed_C3_to_H3_direction,"[10,30)",34,48.251176470588234,2.032925589578458,base_cyclic_xproc_pca8_matern32,0.9637047762424649,base_cyclic_xproc_pca8_matern32,0.9637047762424649,0.9637047762424649,1.909015603748238,49.51823472001548
reversed_C3_to_H3_direction,"[30,50)",52,42.57557692307692,8.957614224882088,base_cyclic_xproc_pca8_matern32,1.7581266565785583,base_cyclic_xproc_pca8_matern32,1.7581266565785583,1.7581266565785583,3.584927327047877,50.95781598378052
reversed_C3_to_H3_direction,"[50,70]",41,38.25585365853659,15.24567610432705,RF_current_residualPLS5,3.129496275358778,base_cyclic_xproc_pca8_matern12,3.5247732714426445,4.087943412254814,3.129496275358778,-30.626243093584
reversed_C3_to_H3_direction,"[-30,-10)",24,46.0975,7.647964349789569,base_cyclic_xproc_pca8_matern52,2.9563747316038196,base_cyclic_xproc_pca8_matern52,2.9563747316038196,3.0863395637310864,4.338006423194485,28.853504060551334
reversed_C3_to_H3_direction,"[-10,10)",19,45.463157894736845,4.644534485262794,base_cyclic_xproc_pca8_rbf_ard,1.024998403386073,base_cyclic_xproc_pca8_rbf_ard,1.024998403386073,1.5687788748031306,2.152630808172147,27.12271566273734
deviation_from_antiparallel,"[0,0.25)",75,46.492666666666665,5.422302376579811,base_cyclic_xproc_pca8_matern52,2.2341737634501606,base_cyclic_xproc_pca8_matern52,2.2341737634501606,2.240955152175195,3.116138895407277,28.0855177707891
deviation_from_antiparallel,"[0.25,0.5)",47,36.52574468085106,16.076136749945874,base_cyclic_xproc_pca8_matern12,3.581184686523855,base_cyclic_xproc_pca8_matern12,3.581184686523855,3.8868392940476806,4.5461132505452815,14.501925494674479
deviation_from_antiparallel,"[0.5,3.1]",48,45.61333333333332,2.0515083535834546,RF_current_residualPLS5,0.8390421429222279,base_cyclic_xproc_pca8_matern12,1.0856169322484808,1.173930288747702,0.8390421429222279,-39.91314961357257
