feature,n_unique,spearman_vs_axis_angle,spearman_vs_y_all_samples,abs_spearman_vs_axis_angle
first_invd_LH6_atomO,2,-0.8255272000361911,0.4925558605003193,0.8255272000361911
O_count_diff_H3_H6_d10,67,0.2802173181168063,0.02016828005681082,0.2802173181168063
max_invd_diff_H3_H6_d5,157,0.2719932365062993,0.09206432530071755,0.2719932365062993
first_invd_diff,170,-0.26241707298933264,-0.30181369853598045,0.26241707298933264
max_invd_diff_H3_H6_d10,170,0.26241707298933264,0.30181369853598045,0.26241707298933264
max_invd_diff_H3_H6_d7,170,0.2557340570332783,0.21553951440865898,0.2557340570332783
first_invd_ratio,170,-0.2553798767285897,-0.16356689361424545,0.2553798767285897
invd_sum_diff_H3_H6_d10,170,0.24571075441059215,0.08570261353557468,0.24571075441059215
first_O_H6_d10,65,0.24324420266518582,0.6073844710372864,0.24324420266518582
first_O_H6_d7,65,0.24324420266518582,0.6073844710372864,0.24324420266518582
first_invd_d_diff,83,0.24312031084958283,0.005588387294373549,0.24312031084958283
first_O_H6_d3,27,0.23851923352924634,0.5522508925892621,0.23851923352924634
first_invd_LH3_atomMg,2,-0.23848563556601077,-0.12745542349363181,0.23848563556601077
first_invd_LH3_atomO,2,0.23848563556601077,0.12745542349363181,0.23848563556601077
first_O_H6_d5,61,0.23751994490563763,0.6056789480245746,0.23751994490563763
O_count_diff_H3_H6_d7,30,0.23271027267304528,0.17412369731197605,0.23271027267304528
Mg_count_diff_H3_H6_d10,63,0.23084677024143688,0.031593769593383884,0.23084677024143688
top3_invd_diff_H3_H6_d5,157,0.21706170509514178,0.07232744230343259,0.21706170509514178
O_count_diff_H3_H6_d5,14,0.21452174747664735,0.32680779988403297,0.21452174747664735
invd_sum_diff_H3_H6_d7,170,0.21279396967967507,0.20558588124041857,0.21279396967967507
invd_sum_diff_H3_H6_d5,157,0.20229316771652547,0.35084642868013527,0.20229316771652547
O_H6_count_d10,50,-0.19924130915916985,-0.6274679823350582,0.19924130915916985
n_events_d3,9,-0.1980744167866687,-0.5799236671496278,0.1980744167866687
