outer_fold,candidate,kind,threshold_deg,high_expert,inner_group_splits,R2,RMSE,MAE,corr2,n
1,legacy_angles_global_matern32,legacy_gp,,,4,-0.13293741564019523,10.518620534440002,5.723747508571637,0.0038017313078277347,136
1,compact_axis_global_matern32,compact_gp,,,4,-0.13284239998729297,10.518179444517656,5.698331214374319,0.002717315636828213,136
1,compact_axis_global_matern12,compact_gp,,,4,-0.07217070292901062,10.232642375192395,5.266375815674377,0.010521958658776434,136
1,compact_axis_global_rational_quadratic,compact_gp,,,4,-0.13138283854686783,10.511401415548217,5.384655395046615,7.476094810915479e-06,136
1,axis_plus_environment_matern32,structured_gp,,,4,-1.0594226340353137,14.181708973077601,10.017458041512493,0.0026952986118618134,136
1,axis_environment_interaction_matern32,structured_gp,,,4,-0.8185914804257355,13.326724022333895,9.286855611944699,0.00010421339580890659,136
1,moe_matern32_matern12_gate40,mixture,40.0,matern12,4,-0.2314375601050891,10.966348065555344,6.823485994048599,0.0036506031427930917,136
1,moe_matern32_rf_gate40,mixture,40.0,rf,4,-0.02729653100077023,10.016217322213864,5.095342667761089,0.03375417746659844,136
1,moe_matern32_matern12_gate45,mixture,45.0,matern12,4,-0.12230124667025155,10.469128989425602,5.940396557030518,0.0009349947751707738,136
1,moe_matern32_rf_gate45,mixture,45.0,rf,4,-0.05750650628674059,10.162424968109969,5.243779470206495,0.02396377511789196,136
1,moe_matern32_matern12_gate50,mixture,50.0,matern12,4,-0.26628706263357405,11.120438508848496,6.246874282863693,0.0021647840493207527,136
1,moe_matern32_rf_gate50,mixture,50.0,rf,4,-0.12475190172605011,10.48055294244754,5.4440525994645235,0.020759435839486407,136
2,legacy_angles_global_matern32,legacy_gp,,,4,0.15720528520024468,10.234803154909343,5.887406916358743,0.16417570092732356,136
2,compact_axis_global_matern32,compact_gp,,,4,0.1571294797836239,10.235263430738234,5.796261350621938,0.16631685978303026,136
2,compact_axis_global_matern12,compact_gp,,,4,0.15886243687020685,10.224736073159232,5.6914843337696865,0.19989714685453241,136
2,compact_axis_global_rational_quadratic,compact_gp,,,4,0.17223539657665266,10.143130620644985,5.614626088122245,0.1938978327644635,136
2,axis_plus_environment_matern32,structured_gp,,,4,-0.3667590671097405,13.03360558316936,8.359796932410369,0.10727224264041761,136
2,axis_environment_interaction_matern32,structured_gp,,,4,0.32055496707385434,9.189581984118611,6.151492471751243,0.34699170065768814,136
2,moe_matern32_matern12_gate40,mixture,40.0,matern12,4,0.24752139651632465,9.670872782215604,6.36991507688127,0.2523470759836121,136
2,moe_matern32_rf_gate40,mixture,40.0,rf,4,0.32704693833260934,9.145574234699748,4.980426338304566,0.4000699579816177,136
2,moe_matern32_matern12_gate45,mixture,45.0,matern12,4,0.00039671471030866545,11.146343687329217,6.857960513036046,0.05859667053625689,136
2,moe_matern32_rf_gate45,mixture,45.0,rf,4,-0.06158750679823033,11.486732093004344,6.19092060951032,0.10365696479749842,136
2,moe_matern32_matern12_gate50,mixture,50.0,matern12,4,-0.11236954414498967,11.758262120334539,6.818426742556426,0.038543605415909274,136
2,moe_matern32_rf_gate50,mixture,50.0,rf,4,0.3671803967577847,8.86867121283834,4.861393088994537,0.3714233040183841,136
3,legacy_angles_global_matern32,legacy_gp,,,4,0.3805668484037258,8.651379528610871,5.540192577116331,0.3968450001692697,136
3,compact_axis_global_matern32,compact_gp,,,4,0.3803203521116286,8.653100715842937,5.5459911334380285,0.3968332980619352,136
3,compact_axis_global_matern12,compact_gp,,,4,0.35647755550485494,8.817997908926161,4.937289802928712,0.3659513235622727,136
3,compact_axis_global_rational_quadratic,compact_gp,,,4,0.4116555874821587,8.431482808737407,5.497034456209319,0.4277904731748292,136
3,axis_plus_environment_matern32,structured_gp,,,4,0.28698536724117185,9.281910223808737,6.334450633121651,0.35840897562175916,136
3,axis_environment_interaction_matern32,structured_gp,,,4,0.39944173483016365,8.518550774480518,5.407928382863711,0.4299390003887194,136
3,moe_matern32_matern12_gate40,mixture,40.0,matern12,4,0.3364176795336441,8.954380512165505,5.755937911106317,0.3415071562724322,136
3,moe_matern32_rf_gate40,mixture,40.0,rf,4,0.5911340858200866,7.0287580733740205,3.6524650391751523,0.5975932849574264,136
3,moe_matern32_matern12_gate45,mixture,45.0,matern12,4,0.13444769027378467,10.226683184042836,5.854384845914785,0.1415079417519355,136
3,moe_matern32_rf_gate45,mixture,45.0,rf,4,0.3134970277261704,9.107713342916222,4.747837901880439,0.3182113845835281,136
3,moe_matern32_matern12_gate50,mixture,50.0,matern12,4,0.018034539376878267,10.892717697636202,6.381803780608884,0.07422121769478895,136
3,moe_matern32_rf_gate50,mixture,50.0,rf,4,0.36395963811732934,8.766585648857287,4.658625486017742,0.3684409849797838,136
4,legacy_angles_global_matern32,legacy_gp,,,4,0.34403536164696524,8.83848274234138,4.88806508055838,0.40019072787028653,136
4,compact_axis_global_matern32,compact_gp,,,4,0.34599383339723355,8.825278632426869,4.840990056955223,0.4005473106764278,136
4,compact_axis_global_matern12,compact_gp,,,4,0.4074303361897218,8.40054014065116,4.407362762017002,0.4088411379381874,136
4,compact_axis_global_rational_quadratic,compact_gp,,,4,0.5001520320016788,7.715364877532105,4.367071659900819,0.5084970200831456,136
4,axis_plus_environment_matern32,structured_gp,,,4,-0.11881577696980106,11.54294948784984,7.139133982113664,0.19088679226186006,136
4,axis_environment_interaction_matern32,structured_gp,,,4,0.515695499232393,7.594457512128119,4.8632435972107935,0.5374225629319345,136
4,moe_matern32_matern12_gate40,mixture,40.0,matern12,4,0.4425660228086774,8.147684855149464,4.695624783124921,0.48228693534884504,136
4,moe_matern32_rf_gate40,mixture,40.0,rf,4,0.7827630905071725,5.086327404401484,2.553191167203305,0.8043054682338759,136
4,moe_matern32_matern12_gate45,mixture,45.0,matern12,4,0.0022524840983495498,10.900535454327557,6.788916647921817,0.061853740767205075,136
4,moe_matern32_rf_gate45,mixture,45.0,rf,4,0.3899744016323873,8.523373776159916,4.473936402600781,0.39523093960349337,136
4,moe_matern32_matern12_gate50,mixture,50.0,matern12,4,-0.10794836349259329,11.486752520309077,6.870770382170062,0.03033165823131616,136
4,moe_matern32_rf_gate50,mixture,50.0,rf,4,0.34486081855522466,8.832919878974788,4.922871628113841,0.3479058706394361,136
5,legacy_angles_global_matern32,legacy_gp,,,4,0.24350732567288624,5.823501227608403,2.5635975211354083,0.24953541732454176,136
5,compact_axis_global_matern32,compact_gp,,,4,0.23905533980747684,5.840611844664988,2.5647443466373083,0.24595028908295527,136
5,compact_axis_global_matern12,compact_gp,,,4,0.27526170581266907,5.69996793660945,2.77700870019922,0.2798562017167402,136
5,compact_axis_global_rational_quadratic,compact_gp,,,4,0.25573625680120116,5.776240129381334,2.5648162204289546,0.2557448186750683,136
5,axis_plus_environment_matern32,structured_gp,,,4,0.39036981787887914,5.2277527375495225,2.513663060571174,0.3907742196345804,136
5,axis_environment_interaction_matern32,structured_gp,,,4,0.4167564676461821,5.113364756151837,2.5607410563099133,0.4194715957858784,136
5,moe_matern32_matern12_gate40,mixture,40.0,matern12,4,-0.009355759108460093,6.726729139913622,3.3892364334516287,0.0847812533658288,136
5,moe_matern32_rf_gate40,mixture,40.0,rf,4,0.17929107888860185,6.065636564532826,2.7333692338531628,0.18546748634695326,136
5,moe_matern32_matern12_gate45,mixture,45.0,matern12,4,-0.07310210002892381,6.935892132625815,3.661741214749343,0.06694467440304627,136
5,moe_matern32_rf_gate45,mixture,45.0,rf,4,0.17094515476537586,6.0963997816760696,2.715515029449799,0.17941929512200955,136
5,moe_matern32_matern12_gate50,mixture,50.0,matern12,4,-0.440191807326622,8.035112764128964,4.309414889603412,0.025839780675281598,136
5,moe_matern32_rf_gate50,mixture,50.0,rf,4,-0.12078656210572869,7.0883191868189375,3.686215753435739,0.06752283192167086,136
