file_key,fold,y,pred_mean,pred_std,residual,lower_95,upper_95
0-0-2-10-0,9,40.74,43.17758124007868,13.572173796566481,-2.4375812400786785,16.576609406890128,69.77855307326723
0-0-2-13-1,4,41.08,43.92,12.548581188697247,-2.8400000000000034,19.32523281307658,68.51476718692342
0-0-2-13-2,9,43.73,28.250522053196423,8.569590047860576,15.479477946803573,11.454434197116818,45.04660990927603
0-0-2-13-3,8,42.65,42.57576873728459,7.9888424279507255,0.07423126271540781,26.917925300335646,58.233612174233535
0-0-2-13-4,7,39.08,43.70932679209749,12.659275834775427,-4.629326792097494,18.89760208557943,68.52105149861555
0-0-2-13-5,8,33.16,38.482158337910924,5.415006741647843,-5.322158337910928,27.868940148239563,49.09537652758229
0-0-2-13-6,7,25.09,22.449993944378235,2.5546818869791084,2.6400060556217646,17.442909453942356,27.457078434814115
0-0-2-13-7,6,16.42,26.472314174980983,5.327977786471308,-10.052314174980982,16.02966960306778,36.914958746894186
0-0-2-13-8,10,9.54,9.58991224839287,1.6703875994517619,-0.04991224839287156,6.316012713245099,12.863811783540642
0-0-2-13-9,4,5.23,12.773858882410462,2.087934398029122,-7.543858882410461,8.681582660191065,16.86613510462986
0-0-2-16-11,4,11.68,21.83899841268801,2.429590191969686,-10.15899841268801,17.077089139235667,26.600907686140353
0-0-2-16-12,3,14.77,7.678623474681245,0.49648385397679606,7.091376525318754,6.705533001981082,8.65171394738141
0-0-2-16-14,8,4.6,25.499399006342454,4.071132694972188,-20.899399006342456,17.520125547913477,33.478672464771435
0-0-2-3-0,2,18.83,43.243550991217624,13.561245456293095,-24.413550991217626,16.663998311375707,69.82310367105954
0-0-2-3-1,7,24.7,43.725565178532705,12.785701276544556,-19.025565178532705,18.66605115941758,68.78507919764783
0-0-2-6-2,10,43.28,39.334213801562505,13.762649793865451,3.945786198437496,12.359915873748623,66.30851172937639
0-0-2-6-3,8,42.98,43.52953613213501,12.376258069614051,-0.5495361321350103,19.272516052318252,67.78655621195176
0-0-2-6-4,7,42.61,41.06456792403506,10.087110524035053,1.5454320759649391,21.294194588851404,60.834941259218716
0-0-2-6-5,10,42.03,41.954531187735064,0.26931798412705543,0.07546881226493696,41.42667763845711,42.48238473701302
0-0-2-6-6,5,41.1,41.58812466408011,0.90260838956823,-0.4881246640801109,39.819044728382686,43.35720459977754
0-0-2-6-7,9,39.86,40.17781539352894,0.26381538807711247,-0.3178153935289387,39.66074673433034,40.69488405272754
0-0-2-6-8,4,38.45,38.24658167713696,0.17368168755305385,0.20341832286304395,37.906171824758836,38.58699152951508
0-0-2-6-9,5,37.02,36.257624072932,1.0917062668822004,0.7623759270679997,34.11791910814622,38.39732903771779
0-0-2-9-12,7,43.0,43.16416698294333,12.772233397125003,-0.16416698294332832,18.13104952243866,68.197284443448
0-0-2-9-13,6,42.23,40.93171669470847,0.4956672079734106,1.2982833052915268,39.96022681876306,41.90320657065388
0-0-2-9-14,3,42.05,41.88873205689773,1.0182861801312169,0.161267943102267,39.89292781788568,43.88453629590978
0-0-2-9-15,9,42.34,42.537398153481696,0.336913478885381,-0.19739815348169287,41.87705986896025,43.19773643800314
0-0-2-9-16,5,42.9,42.7425940319858,0.516473432539037,0.1574059680141957,41.730324705237514,43.75486335873409
0-0-2-9-17,2,43.48,43.3888447123531,0.21997811078500376,0.09115528764689884,42.95769553782733,43.81999388687887
